A1,A2,A3
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2019,6
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2015,230
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2016,771
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2017,1813
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2018,3875
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2019,6050
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2009,1
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2010,2
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2011,5
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2012,1
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2015,24
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2016,18
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2017,15
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2018,13
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Yüksek Öğretim,2019,8
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlkokul,2015,181
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlkokul,2016,612
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlkokul,2017,931
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlkokul,2018,559
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlkokul,2019,116
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2009,8706
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2010,9101
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2011,9238
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2012,10183
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2013,10116
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2014,8854
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2015,8213
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2016,6950
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2017,4716
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2018,2827
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:İlköğretim,2019,541
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2009,40664
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2010,33049
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2011,19082
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2012,13832
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2013,10895
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2014,8921
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2015,2963
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2016,1513
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2017,1316
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2018,1048
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Bilinmeyen,2019,1061
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2009,54522
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2010,55503
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2011,56499
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2012,55919
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2013,51440
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2014,44060
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2015,38605
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2016,37357
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2017,35090
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2018,33825
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2019,34172
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2009,9513
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2010,10375
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2011,10367
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2012,12576
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2013,13934
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2014,14601
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2015,11508
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2016,7975
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2017,5505
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2018,3666
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2019,1979
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2009,2172
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2010,1938
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2011,1626
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2012,1676
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2013,1699
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2014,1484
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2015,594
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2016,427
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2017,219
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2018,121
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2019,55
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2015,6066
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2016,3436
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2017,598
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2018,1801
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2019,35170
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2009,4262
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2010,3396
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2011,8386
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2012,6065
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2013,3416
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2014,1460
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2015,20009
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2016,21152
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2017,20198
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2018,18692
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:Yüksek Öğretim,2019,18639
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2009,23517
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2010,12886
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2011,5009
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2012,1455
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2015,741
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2016,1432
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2017,1299
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2018,1338
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlkokul,2019,1080
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2009,36383
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2010,45205
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2011,59803
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2012,67055
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2013,72707
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2014,81004
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2015,67929
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2016,69856
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2017,69966
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2018,65025
Erkeğin yaş grubu:20-24 ve Erkeğin eğitim durumu:İlköğretim,2019,24709
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2009,38383
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2010,37017
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2011,29448
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2012,29377
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2013,25798
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2014,21265
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2015,6328
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2016,3456
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2017,2815
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2018,2416
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Bilinmeyen,2019,2340
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2009,75377
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2010,82710
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2011,79165
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2012,86782
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2013,99156
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2014,111431
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2015,71361
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2016,63231
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2017,55872
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2018,53593
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2019,51495
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2009,8260
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2010,7598
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2011,7068
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2012,7274
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2013,7568
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2014,8098
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2015,7402
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2016,6652
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2017,5718
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2018,4535
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2019,3225
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2009,2427
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2010,2070
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2011,1671
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2012,1610
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2013,1490
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2014,1369
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2015,771
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2016,619
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2017,523
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2018,307
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2019,220
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2009,15491
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2010,10514
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2011,5779
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2012,2784
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2013,750
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2015,8320
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2016,5433
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2017,161
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2018,277
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2019,23626
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2009,34849
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2010,32211
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2011,47959
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2012,45451
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2013,40842
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2014,31871
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2015,90737
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2016,96181
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2017,96101
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2018,94238
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:Yüksek Öğretim,2019,98977
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2009,43109
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2010,36169
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2011,25097
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2012,20027
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2013,13697
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2014,7943
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2015,4211
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2016,2121
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2017,1119
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2018,1011
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlkokul,2019,1089
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2009,13458
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2010,19849
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2011,33268
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2012,37724
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2013,43203
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2014,48879
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2015,43207
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2016,49043
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2017,56769
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2018,56234
Erkeğin yaş grubu:25-29 ve Erkeğin eğitim durumu:İlköğretim,2019,29617
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2009,11686
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2010,10846
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2011,8527
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2012,8765
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2013,9002
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2014,9233
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2015,3146
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2016,1958
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2017,1832
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2018,1720
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Bilinmeyen,2019,1570
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2009,20122
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2010,22927
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2011,24603
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2012,26547
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2013,28252
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2014,31183
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2015,24925
